Read file in one pass,File size is 64Kb
Block read exit,000EB199
Block read entry,000EB2AE
Block read exit,000F9E75
Block read entry,000F9F8A
Block read exit,00105F05
Block read entry,0010601A
Block read exit,00111F1F
Block read entry,00112034
Block read exit,00121FE9
Block read entry,001220FE
Block read exit,0012E02E
Block read entry,0012E143
Block read exit,0013A044
Block read entry,0013A159
Block read exit,0014A0E6
Block read entry,0014A1FB
Block read exit,00156114
Block read entry,00156229
Block read exit,0016211C
Block read entry,00162231
Block read exit,001721D3
Block read entry,001722E8
Block read exit,0017E1EA
Block read entry,0017E2FF
Block read exit,0018A1C9
Block read entry,0018A2DE
Block read exit,001914AA
Block read entry,001915BF
Block read exit,0019D4E7
Block read entry,0019D5FC
Block read exit,001A94E1
Block read entry,001A95F6
Block read exit,001B9514
Block read entry,001B9629
Block read exit,001C5544
Block read entry,001C5659
Block read exit,001D1553
Block read entry,001D1668
Block read exit,001E15AB
Block read entry,001E16C0
Block read exit,001ED5E4
Block read entry,001ED6F9
Block read exit,001F95A9
Block read entry,001F96BE
Block read exit,0020960A
Block read entry,0020971F
Block read exit,00215894
Block read entry,002159A9
Block read exit,00221878
Block read entry,0022198D
Block read exit,0023078D
Block read entry,002308A2
Block read exit,0023C76E
Block read entry,0023C883
Block read exit,0024873D
Block read entry,00248852
Block read exit,002587C5
Block read entry,002588DA
Block read exit,002647B7
Block read entry,002648CC
Block read exit,00270786
Block read entry,0027089B
Block read exit,00280813
Block read entry,00280928
Block read exit,0028C7FB
Block read entry,0028C910
Block read exit,002987E7
Block read entry,002988FC
Block read exit,002A888A
Block read entry,002A899F
Block read exit,002B484A
Block read entry,002B495F
Block read exit,002C0841
Block read entry,002C0956
Block read exit,002C7B56
Block read entry,002C7C6B
Block read exit,002D3B4E
Block read entry,002D3C63
Block read exit,002DFB1A
Block read entry,002DFC2F
Block read exit,002EFB9F
Block read entry,002EFCB4
Block read exit,002FBB6E
Block read entry,002FBC83
Block read exit,00307B44
Block read entry,00307C59
Block read exit,00317E24
Block read entry,00317F39
Block read exit,00323DFA
Block read entry,00323F0F
Block read exit,0032FB7C
Block read entry,0032FC91
Block read exit,0033F962
Block read entry,0033FCF1
Block read exit,0034B933
Block read entry,0034BA48
Block read exit,003576E1
Block read entry,003577F6
Block read exit,003661D9
Block read entry,003662EE
Block read exit,0037216A
Block read entry,0037227F
Block read exit,0037E19A
Block read entry,0037E2AF
Block read exit,0038E1C4
Block read entry,0038E2D9
Block read exit,0039A1B5
Block read entry,0039A2CA
Block read exit,003A61E1
Block read entry,003A62F6
Block read exit,003B6200
Block read entry,003B6315
Block read exit,003C220E
Block read entry,003C2323
Block read exit,003CE22F
Block read entry,003CE344
Block read exit,003DE22E
Block read entry,003DE343
Block read exit,003EA24D
Block read entry,003EA362
Block read exit,003F6255
Block read entry,003F636A
Block read exit,003FD7B1
Block read entry,003FD8C6
Block read exit,00409787
Block read entry,0040989C
Block read exit,004157CC
Block read entry,004158E1
Block read exit,0042557C
Block read entry,0042590B
Block read exit,00431571
Block read entry,00431686
Block read exit,0043D31E
Block read entry,0043D433
Block read exit,0044D0C1
Block read entry,0044D1D6
Block read exit,004590E7
Block read entry,004591FC
Block read exit,004650E1
Block read entry,004651F6
Block read exit,00475104
Block read entry,00475219
Block read exit,00481134
Block read entry,00481249
Block read exit,0048D123
Block read entry,0048D238
Block read exit,0049BE3E
Block read entry,0049BF53
Block read exit,004A7E62
Block read entry,004A7F77
Block read exit,004B3E4C
Block read entry,004B3F61
Block read exit,004C3E7A
Block read entry,004C3F8F
Block read exit,004CFE94
Block read entry,004CFFA9
Block read exit,004DBE6C
Block read entry,004DBF81
Block read exit,004EBEA4
Block read entry,004EBFB9
Block read exit,004F7EA4
Block read entry,004F7FB9
Block read exit,00503E97
Block read entry,00503FAC
Block read exit,00513EEB
Block read entry,00514000
Block read exit,00520172
Block read entry,00520287
Block read exit,0052C14B
Block read entry,0052C260
Block read exit,005331D0
Block read entry,005332E5
Block read exit,0053F1FD
Block read entry,0053F312
Block read exit,0054B1DE
Block read entry,0054B2F3
Block read exit,0055B216
Block read entry,0055B32B
Block read exit,00567227
Block read entry,0056733C
Block read exit,00573206
Block read entry,0057331B
Block read exit,0058326F
Block read entry,00583384
Block read exit,0058F27B
Block read entry,0058F390
Block read exit,0059B240
Block read entry,0059B355
Block read exit,005AB2A3
Block read entry,005AB3B8
Block read exit,005B72C5
Block read entry,005B73DA
Block read exit,005C3278
Block read entry,005C338D
Block read exit,005D1FFA
Block read entry,005D210F
Block read exit,005DDFE6
Block read entry,005DE0FB
Block read exit,005E9FB4
Block read entry,005EA0C9
Block read exit,005FA02C
Block read entry,005FA141
Block read exit,00606277
Block read entry,0060638C
Block read exit,00612293
Block read entry,006123A8
Block read exit,0062205B
Block read entry,00622170
Block read exit,0062DDB2
Block read entry,0062E142
Block read exit,00639DDF
Block read entry,00639EF4
Block read exit,00649B92
Block read entry,00649CA7
Block read exit,00655B61
Block read entry,00655C76
Block read exit,00661B82
Block read entry,00661C97
Block read exit,00668E89
Block read entry,00668F9E
Block read exit,00674E6E
Block read entry,00674F83
Block read exit,00680E65
Block read entry,00680F7A
Block read exit,00690EBD
Block read entry,00690FD2
Block read exit,0069CE71
Block read entry,0069CF86
Block read exit,006A8E90
Block read entry,006A8FA5
Block read exit,006B8EE1
Block read entry,006B8FF6
Block read exit,006C4EA2
Block read entry,006C4FB7
Block read exit,006D0ED9
Block read entry,006D0FEE
Block read exit,006E0EF8
Block read entry,006E100D
Block read exit,006ECED1
Block read entry,006ECFE6
Block read exit,006F8F02
Block read entry,006F9017
Block read exit,00708291
Close entry,00708361
Close exit,0070841B
Read file b-by-b low level,File size is 64Kb
Open entry,00000000
Open exit,00063AEC
Block read entry,00063BFB
Block read exit,00086E3C
Block read entry,00086F51
Block read exit,00096DD2
Block read entry,00096EE7
Block read exit,000A2BD3
Block read entry,000A2CE8
Block read exit,000AEA07
Block read entry,000AEB1C
Block read exit,000BEB83
Block read entry,000BEC98
Block read exit,000CABE4
Block read entry,000CACF9
Block read exit,000D6C35
Block read entry,000D6D4A
Block read exit,000E5949
Block read entry,000E5A5E
Block read exit,000F19F6
Block read entry,000F1B0B
Block read exit,000FDA63
Block read entry,000FDB78
Block read exit,0010DB1B
Block read entry,0010DC30
