Read file in one pass,File size is 64Kb,
Block read exit,681665,21601
Block read entry,681964,
Block read exit,700510,18546
Block read entry,700809,
Block read exit,719524,18715
Block read entry,719823,
Block read exit,738528,18705
Block read entry,738827,
Block read exit,757435,18608
Block read entry,757734,
Block read exit,776449,18715
Block read entry,776748,
Block read exit,795463,18715
Block read entry,795762,
Block read exit,814480,18718
Block read entry,814779,
Block read exit,836915,22136
Block read entry,837214,
Block read exit,856086,18872
Block read entry,856385,
Block read exit,875150,18765
Block read entry,875449,
Block read exit,894158,18709
Block read entry,894457,
Block read exit,913336,18879
Block read entry,913635,
Block read exit,932404,18769
Block read entry,932703,
Block read exit,951575,18872
Block read entry,951874,
Block read exit,970749,18875
Block read entry,971048,
Block read exit,992325,21277
Block read entry,992624,
Block read exit,1010915,18291
Block read entry,1011214,
Block read exit,1029610,18396
Block read entry,1029909,
Block read exit,1048305,18396
Block read entry,1048604,
Block read exit,1067162,18558
Block read entry,1067461,
Block read exit,1085857,18396
Block read entry,1086156,
Block read exit,1104926,18770
Block read entry,1105225,
Block read exit,1123790,18565
Block read entry,1124089,
Block read exit,1145509,21420
Block read entry,1145808,
Block read exit,1164526,18718
Block read entry,1164825,
Block read exit,1183390,18565
Block read entry,1183689,
Block read exit,1202241,18552
Block read entry,1202540,
Block read exit,1221472,18932
Block read entry,1221771,
Block read exit,1240323,18552
Block read entry,1240622,
Block read exit,1259178,18556
Block read entry,1259477,
Block read exit,1278028,18551
Block read entry,1278327,
Block read exit,1299928,21601
Block read entry,1300227,
Block read exit,1318933,18706
Block read entry,1319232,
Block read exit,1338334,19102
Block read entry,1338633,
Block read exit,1357349,18716
Block read entry,1357648,
Block read exit,1376526,18878
Block read entry,1376825,
Block read exit,1395535,18710
Block read entry,1396321,
Block read exit,1415038,18717
Block read entry,1415337,
Block read exit,1434052,18715
Block read entry,1434351,
Block read exit,1456589,22238
Block read entry,1456888,
Block read exit,1475498,18610
Block read entry,1475797,
Block read exit,1494674,18877
Block read entry,1494973,
Block read exit,1513897,18924
Block read entry,1514196,
Block read exit,1533075,18879
Block read entry,1533374,
Block read exit,1552253,18879
Block read entry,1552552,
Block read exit,1571804,19252
Block read entry,1572103,
Block read exit,1590982,18879
Block read entry,1591281,
Block read exit,1612547,21266
Block read entry,1612846,
Block read exit,1631244,18398
Block read entry,1631543,
Block read exit,1649941,18398
Block read entry,1650240,
Block read exit,1668634,18394
Block read entry,1668933,
Block read exit,1687708,18775
Block read entry,1688007,
Block read exit,1706401,18394
Block read entry,1706700,
Block read exit,1725262,18562
Block read entry,1725561,
Block read exit,1743961,18400
Block read entry,1744260,
Block read exit,1765694,21434
Block read entry,1765993,
Block read exit,1784391,18398
Block read entry,1784690,
Block read exit,1803631,18941
Block read entry,1803930,
Block read exit,1822483,18553
Block read entry,1822782,
Block read exit,1841336,18554
Block read entry,1841635,
Block read exit,1860198,18563
Block read entry,1860497,
Block read exit,1879046,18549
Block read entry,1879345,
Block read exit,1898283,18938
Block read entry,1898582,
Block read exit,1920827,22245
Block read entry,1921126,
Block read exit,1939668,18542
Block read entry,1939967,
Block read exit,1958839,18872
Block read entry,1959138,
Block read exit,1977842,18704
Block read entry,1978141,
Block read exit,1996856,18715
Block read entry,1997155,
Block read exit,2015762,18607
Block read entry,2016061,
Block read exit,2034671,18610
Block read entry,2034970,
Block read exit,2053844,18874
Block read entry,2054143,
Block read exit,2075896,21753
Block read entry,2076195,
Block read exit,2094902,18707
Block read entry,2095201,
Block read exit,2114075,18874
Block read entry,2114374,
Block read exit,2133091,18717
Block read entry,2133390,
Block read exit,2152705,19315
Block read entry,2153004,
Block read exit,2171879,18875
Block read entry,2172178,
Block read exit,2191059,18881
Block read entry,2191358,
Block read exit,2210235,18877
Block read entry,2210534,
Block read exit,2231803,21269
Block read entry,2232102,
Block read exit,2250332,18230
Block read entry,2250634,
Block read exit,2269419,18785
Block read entry,2269718,
Block read exit,2288118,18400
Block read entry,2288417,
Block read exit,2306810,18393
Block read entry,2307109,
Block read exit,2325496,18387
Block read entry,2325795,
Block read exit,2344345,18550
Block read entry,2344644,
Block read exit,2363576,18932
Block read entry,2363875,
Block read exit,2385959,22084
Block read entry,2386258,
Block read exit,2404808,18550
Block read entry,2405107,
Block read exit,2423666,18559
Block read entry,2423965,
Block read exit,2442803,18838
Block read entry,2443102,
Block read exit,2461648,18546
Block read entry,2461947,
Block read exit,2480892,18945
Block read entry,2481191,
Block read exit,2499895,18704
Block read entry,2500194,
Block read exit,2518914,18720
Block read entry,2519213,
Block read exit,2540807,21594
Block read entry,2541106,
Block read exit,2559658,18552
Block read entry,2559957,
Block read exit,2578674,18717
Block read entry,2578973,
Block read exit,2597582,18609
Block read entry,2597881,
Block read exit,2616591,18710
Block read entry,2616890,
Block read exit,2635757,18867
Block read entry,2636056,
Block read exit,2654759,18703
Block read entry,2655058,
Block read exit,2673928,18870
Block read entry,2674227,
Block read exit,2695980,21753
min,18230,
max,26245,
Set mark entry,2696272,
Set mark exit,2696500,228
Close entry,2696700,
Close exit,2696886,186
Read file b-by-b low level,File size is 64Kb,
Open entry,0,
Open exit,112085,112085
Block read entry,112356,
Block read exit,137517,25161
Block read entry,137821,
Block read exit,157010,19189
Block read entry,157312,
Block read exit,177047,19735
Block read entry,177346,
Block read exit,196531,19185
Block read entry,196833,
Block read exit,216025,19192
Block read entry,216324,
Block read exit,235666,19342
Block read entry,235965,
Block read exit,255542,19577
Block read entry,255841,
Block read exit,277916,22075
Block read entry,278215,
Block read exit,296759,18544
Block read entry,297061,
Block read exit,315758,18697
Block read entry,316057,
Block read exit,334761,18704
Block read entry,335060,
Block read exit,354140,19080
Block read entry,354439,
Block read exit,373150,18711
Block read entry,373449,
Block read exit,392151,18702
Block read entry,392450,
Block read exit,411158,18708
Block read entry,411457,
Block read exit,433849,22392
Block read entry,434148,
Block read exit,452901,18753
Block read entry,453200,
Block read exit,472232,19032
Block read entry,472531,
Block read exit,491393,18862
Block read entry,491692,
Block read exit,510555,18863
Block read entry,510854,
Block read exit,530110,19256
Block read entry,530409,
Block read exit,549270,18861
Block read entry,549569,
Block read exit,568491,18922
Block read entry,568790,
Block read exit,590698,21908
Block read entry,590997,
Block read exit,609859,18862
Block read entry,610158,
Block read exit,629073,18915
Block read entry,629372,
Block read exit,648401,19029
Block read entry,648700,
Block read exit,667889,19189
Block read entry,668188,
Block read exit,687216,19028
Block read entry,687515,
Block read exit,706913,19398
Block read entry,707212,
Block read exit,726241,19029
Block read entry,726540,
Block read exit,748612,22072
Block read entry,748911,
Block read exit,767926,19015
Block read entry,768225,
Block read exit,787417,19192
Block read entry,787716,
Block read exit,807443,19727
Block read entry,807742,
Block read exit,826926,19184
Block read entry,827225,
Block read exit,846421,19196
Block read entry,846720,
Block read exit,865908,19188
Block read entry,866207,
Block read exit,885384,19177
Block read entry,885683,
Block read exit,907644,21961
Block read entry,907943,
Block read exit,926645,18702
Block read entry,926944,
Block read exit,945652,18708
Block read entry,945951,
Block read exit,964648,18697
Block read entry,964947,
Block read exit,983558,18611
Block read entry,983857,
